quality_score,wine_type,alcohol,citric_acid,density,ph,residual_sugar,total_sulfur_dioxide,fixed_acidity
7.06,white,12.9,0.26,0.9908,3.08,9.7,102.0,6.2
4.27,white,9.5,0.09,0.99566,2.93,10.9,131.0,6.6
6.35,white,9.6,0.23,0.9945,3.34,6.2,117.0,6.7
7.08,white,13.4,0.24,0.98934,3.04,6.1,86.0,6.2
5.75,white,9.5,0.24,0.9942,2.99,3.6,85.0,6.9
7.89,white,11.9,0.28,0.99224,3.36,4.5,92.0,6.7
6.86,white,12.1,0.04,0.9894,3.36,1.4,119.0,5.2
5.47,white,9.2,0.2,0.99314,3.18,2.4,112.0,6.4
7.73,red,11.7,0.0,0.9944,3.48,1.6,11.0,5.9
6.26,white,9.4,0.44,0.99584,3.2,8.2,183.0,6.8
7.6,red,9.4,0.42,0.9974,3.21,2.0,27.0,8.3
8.11,white,11.1,0.29,0.9916,3.54,1.1,152.0,6.0
7.65,red,11.4,0.0,0.99533,3.48,2.1,35.0,7.6
6.81,white,10.5,0.4,0.99398,3.16,5.7,152.0,6.0
6.35,white,9.5,0.33,0.9927,3.15,1.1,169.0,6.1
5.44,white,9.0,0.38,0.9979,3.09,14.3,194.0,7.2
8.11,red,10.2,0.46,0.9974,3.04,1.8,13.0,10.1
5.72,white,9.5,0.25,0.99663,3.14,11.2,136.0,7.1
5.64,white,9.6,0.26,0.99514,3.14,7.9,180.0,6.4
8.28,red,9.7,0.49,0.9987,3.35,2.6,75.0,9.0
6.86,white,9.5,0.34,0.994,3.3,1.6,132.0,6.3
6.06,red,9.2,0.1,0.996,3.28,1.4,63.0,7.0
6.96,white,10.7,0.16,0.9917,3.48,1.5,97.0,5.0
9.31,red,11.0,0.49,0.9977,3.18,1.8,20.0,10.4
7.08,red,9.9,0.15,0.99609,3.29,2.0,28.0,7.2
7.49,white,10.8,0.37,0.99216,3.18,1.5,104.0,7.0
8.23,red,11.5,0.24,0.9934,3.74,1.6,96.0,5.0
7.13,white,12.2,0.26,0.9925,3.27,7.7,103.0,5.2
8.45,red,9.4,0.45,0.9991,3.39,2.3,40.0,9.9
7.72,white,12.0,0.26,0.99078,3.34,2.8,132.0,7.0
6.64,white,11.2,0.24,0.99174,3.23,4.8,138.0,6.2
6.5,red,10.0,0.08,0.9968,3.21,2.7,48.0,7.6
5.83,white,9.5,0.37,0.99776,3.02,10.0,210.0,7.7
7.51,white,10.3,0.36,0.9924,3.23,1.6,87.0,6.8
6.63,red,10.2,0.15,0.9955,3.17,2.8,73.0,7.6
6.01,white,9.2,0.49,0.9984,3.01,11.3,221.0,7.6
7.18,red,9.3,0.23,0.99774,3.22,1.9,18.0,10.1
7.83,red,10.1,0.43,0.9985,3.06,2.8,84.0,10.6
6.82,red,9.3,0.48,0.9975,3.04,2.1,145.0,8.8
7.96,white,12.5,0.21,0.99027,3.42,1.6,85.0,5.5
8.85,red,9.7,0.4,1.0006,3.48,2.9,26.0,10.0
9.24,white,11.9,0.51,0.9903,3.46,1.2,102.0,6.0
7.08,white,13.0,0.26,0.99031,3.06,8.15,88.0,6.1
7.34,red,9.2,0.26,0.9981,3.43,1.9,53.0,7.8
6.52,white,9.5,0.22,0.9944,3.28,1.4,130.0,7.8
6.26,white,9.3,0.36,0.9984,3.44,11.0,247.0,6.5
8.57,red,12.0,0.29,0.99536,3.22,3.1,26.0,8.4
6.87,white,9.7,0.5,0.99212,3.1,1.0,178.0,5.8
5.27,white,9.3,0.21,0.99657,3.03,10.7,91.0,7.0
6.68,white,10.5,0.31,0.99092,3.06,1.5,121.0,6.5
7.06,red,9.4,0.35,0.9963,3.28,2.0,92.0,7.1
4.66,white,9.0,0.32,0.99666,2.88,12.5,156.0,6.7
6.9,white,10.6,0.28,1.00295,3.06,26.05,122.0,6.8
8.51,white,12.5,0.32,0.9898,3.36,1.1,110.0,6.1
6.53,red,9.6,0.01,0.99668,3.39,1.9,32.0,7.9
6.56,red,9.6,0.07,0.9961,3.3,1.8,23.0,7.4
6.05,white,9.1,0.45,0.99576,3.2,7.8,188.0,6.5
8.11,white,12.0,0.32,0.9918,3.19,1.4,126.0,7.1
5.86,white,9.5,0.25,0.99663,3.14,11.2,136.0,7.1
6.95,white,12.3,0.32,0.99146,3.0,8.7,105.0,6.8
6.56,red,9.5,0.24,0.99788,3.21,2.6,139.0,9.2
8.09,red,9.4,0.59,0.9986,3.04,2.2,18.0,10.6
6.01,white,10.8,0.22,0.99338,3.05,9.5,111.0,6.3
7.22,white,10.1,0.49,0.9939,3.05,1.7,167.0,8.3
7.16,white,11.0,0.34,0.99299,3.22,5.6,140.0,6.6
7.17,red,10.2,0.09,0.99669,3.46,2.9,22.0,6.7
6.67,red,9.8,0.05,0.9966,3.39,2.0,54.0,7.0
6.49,white,12.1,0.23,0.98871,2.96,1.5,121.0,5.8
8.11,white,12.4,0.39,0.9925,3.3,5.2,163.0,7.3
8.38,white,12.2,0.37,0.992,3.38,6.2,97.0,6.9
6.86,red,9.7,0.21,0.9964,3.28,2.2,28.0,7.6
6.86,red,9.9,0.26,0.99622,3.21,2.0,131.0,7.8
6.85,white,9.7,0.62,1.0002,2.98,19.25,172.0,8.3
5.76,white,10.0,0.22,0.99383,3.09,5.6,147.0,6.3
5.85,white,9.5,0.18,0.9935,3.11,1.4,137.0,6.8
7.86,white,11.8,0.32,0.9898,3.42,1.2,98.0,4.8
7.28,white,11.0,0.32,0.99096,3.22,1.1,184.0,6.2
8.6,red,10.6,0.38,0.99676,3.26,1.5,47.0,9.9
6.75,red,10.0,0.0,0.99608,3.39,2.0,11.0,7.2
5.88,white,9.6,0.25,0.99767,3.19,15.0,120.0,6.2
7.76,white,12.3,0.33,0.9898,3.09,1.6,98.0,6.9
6.64,white,13.2,0.25,0.98963,2.82,5.7,73.0,7.0
6.48,red,9.7,0.01,0.99683,3.4,1.9,54.0,6.9
6.37,red,9.1,0.27,0.99747,3.13,2.0,77.0,8.2
7.65,red,10.4,0.2,0.9956,3.37,1.9,54.0,7.1
8.18,red,9.8,0.49,0.9976,3.14,2.2,40.0,10.6
8.3,white,12.1,0.28,0.9899,3.36,1.1,78.0,6.2
5.26,white,9.0,0.46,0.99786,2.86,11.8,183.0,7.7
5.3,red,9.7,0.02,0.99524,3.1,2.2,111.0,6.7
7.5,red,10.0,0.27,0.9962,3.26,2.1,23.0,8.2
7.15,red,9.2,0.49,0.9982,3.08,2.9,110.0,9.0
7.85,white,10.8,0.33,0.9925,3.32,1.8,96.0,6.7
6.15,white,10.7,0.27,0.9928,3.05,4.5,157.0,6.3
6.64,red,9.5,0.2,0.998,3.23,3.0,115.0,9.2
7.58,white,12.6,0.3,0.99126,3.18,6.6,138.0,7.1
7.3,white,11.3,0.34,0.9916,2.93,1.2,93.0,9.2
6.55,white,10.4,0.28,0.9954,3.25,8.6,221.0,7.0
8.94,red,11.0,0.47,0.9978,3.15,2.1,24.0,10.5
6.69,white,10.5,0.25,0.994,3.31,9.7,68.0,5.6
7.65,white,11.3,0.29,0.99159,3.31,2.8,107.0,6.7
5.49,white,9.5,0.2,0.99459,3.24,5.3,181.0,6.4
6.39,white,9.0,0.33,0.9954,3.16,1.7,178.0,9.3
7.04,white,10.0,0.45,0.997,3.15,11.2,137.0,7.6
9.76,white,12.4,0.74,0.9928,3.28,3.6,128.0,8.5
6.68,white,10.7,0.14,0.9959,3.22,10.7,95.0,7.5
6.41,white,9.5,0.4,0.99573,3.18,6.3,172.0,7.2
7.15,white,11.2,0.27,0.99212,3.16,4.3,123.0,8.1
6.75,red,9.4,0.24,0.9974,3.09,2.4,33.0,9.9
6.58,white,9.6,0.38,0.9958,3.35,7.4,182.0,7.1
5.88,white,8.9,0.39,0.99851,3.26,11.9,221.0,6.6
8.58,red,10.5,0.47,0.99772,3.15,2.5,20.0,9.4
6.57,red,9.2,0.22,0.9967,3.29,2.1,65.0,8.1
6.61,white,11.3,0.3,0.99189,3.04,3.85,179.0,6.7
9.71,red,11.3,0.52,0.9976,3.35,2.3,23.0,9.2
6.54,white,10.7,0.27,0.99388,3.2,10.3,108.0,6.2
4.96,white,8.8,0.23,0.99906,3.08,17.3,118.0,6.6
6.72,white,9.2,0.58,0.9999,3.15,16.75,163.0,7.6
6.02,white,9.6,0.3,0.9954,3.29,6.6,200.0,6.2
7.25,white,12.1,0.33,0.99258,3.1,9.9,90.0,6.0
6.92,red,10.5,0.08,0.9949,3.45,2.0,44.0,6.2
6.55,white,9.4,0.48,0.99582,3.21,6.2,182.0,6.8
9.22,red,10.8,0.46,0.9976,3.25,1.8,21.0,10.4
7.52,red,9.6,0.45,0.9972,3.13,3.3,49.0,10.8
8.35,red,11.0,0.39,0.99495,3.18,1.8,55.0,9.1
6.02,white,8.9,0.67,0.9966,2.9,8.1,166.0,7.5
6.18,white,9.5,0.36,0.99427,3.09,4.5,102.0,7.6
8.71,white,12.2,0.47,0.99,3.26,1.4,81.0,6.2
8.06,red,11.5,0.14,0.99396,3.48,1.9,34.0,6.2
8.43,red,10.2,0.34,0.99769,3.44,2.0,67.0,9.1
8.58,red,11.9,0.3,0.99346,3.33,2.0,39.0,7.0
6.68,red,9.3,0.0,1.0002,3.5,2.5,58.0,8.2
6.52,white,11.1,0.32,0.99163,2.96,5.6,68.0,6.6
7.97,white,11.4,0.49,0.9914,3.11,1.6,94.0,6.7
8.31,red,11.3,0.35,0.99394,3.14,1.7,27.0,8.8
5.84,white,9.2,0.24,0.9933,3.13,1.2,121.0,6.6
7.76,white,9.9,0.33,0.9937,3.37,1.1,63.0,7.2
6.78,white,9.2,0.58,0.9999,3.15,16.75,163.0,7.6
6.56,white,11.0,0.22,0.99404,3.24,7.4,172.0,6.4
5.96,white,9.5,0.37,0.99523,3.19,7.1,201.0,6.2
7.51,red,9.3,0.41,0.9984,3.08,2.2,17.0,10.8
6.66,red,9.7,0.03,0.99743,3.53,2.3,86.0,7.2
6.58,white,10.4,0.21,0.9986,3.35,16.3,182.0,6.6
5.88,white,9.9,0.25,0.99606,3.17,10.7,179.0,6.4
7.48,red,9.5,0.3,0.99685,3.42,1.8,70.0,7.2
7.11,white,11.8,0.3,0.993,2.94,8.1,71.0,9.0
7.82,white,12.4,0.33,0.99066,2.98,1.3,100.0,8.1
8.25,white,11.6,0.35,0.99119,3.31,1.4,109.0,7.0
5.93,white,8.8,0.64,0.998,3.0,12.9,170.0,7.6
6.99,red,9.95,0.02,0.996,3.55,1.8,12.0,6.7
5.34,white,9.3,0.14,0.9937,3.05,1.5,168.0,7.6
6.2,red,9.4,0.18,0.99738,3.14,2.9,74.0,8.8
8.26,white,12.9,0.28,0.9898,3.43,2.2,126.0,6.0
7.52,white,10.4,0.36,0.9921,3.08,1.2,78.0,8.0
6.06,white,10.1,0.1,0.9924,3.24,1.6,128.0,5.9
9.29,red,10.7,0.49,1.0002,3.3,3.4,80.0,11.8
7.67,white,11.0,0.3,0.99615,3.46,8.5,152.0,6.7
4.75,white,8.8,0.27,0.99807,2.94,13.9,155.0,7.3
6.96,white,9.7,0.32,0.9938,3.5,2.4,200.0,6.4
7.53,white,12.7,0.37,0.99036,3.08,4.8,114.0,7.1
7.93,red,9.6,0.37,0.9974,3.26,1.4,23.0,8.3
8.51,white,10.9,0.47,0.9938,3.21,1.1,126.0,8.1
10.0,red,13.0,0.76,1.0004,3.22,4.2,38.0,12.0
5.9,red,9.4,0.0,0.99676,3.31,2.0,45.0,7.0
5.92,white,8.6,0.62,0.9976,3.08,10.8,189.0,7.2
7.33,white,11.2,0.32,0.9906,3.13,1.2,138.0,7.0
6.63,red,9.4,0.23,0.9973,3.19,2.0,81.0,8.2
9.95,red,12.8,0.46,0.9973,3.35,3.6,37.0,7.9
6.99,white,10.6,0.34,0.9927,3.21,4.7,134.0,6.8
7.44,white,11.0,0.24,0.9923,3.35,1.9,144.0,7.0
9.13,red,12.9,0.38,0.99356,3.34,2.8,42.0,7.2
5.31,white,8.9,0.3,0.999,3.14,14.2,212.5,7.6
7.92,red,10.5,0.16,0.9962,3.42,1.8,16.0,8.0
7.77,red,10.1,0.32,0.9979,3.29,2.5,91.0,9.7
7.46,white,10.5,0.48,0.99184,2.9,1.1,58.0,8.5
7.46,white,10.0,0.42,0.99517,3.09,2.0,104.0,9.2
6.01,red,9.566666667,0.19,0.99713,3.16,5.2,98.0,7.4
6.44,white,10.7,0.35,0.99546,3.0,13.5,118.0,6.9
7.12,red,9.3,0.26,0.9976,3.27,2.5,31.0,8.7
6.27,white,9.7,0.34,0.9962,3.1,7.1,150.0,8.9
5.98,white,8.8,0.36,0.99924,3.26,16.3,133.0,6.5
8.33,white,12.0,0.37,0.99076,3.39,3.2,80.0,6.15
7.28,white,11.1,0.37,0.9948,3.05,9.1,76.0,6.9
7.26,white,11.0,0.36,0.9975,3.2,20.8,139.0,6.9
8.0,white,9.9,0.35,0.9938,3.46,1.2,73.0,7.2
5.77,red,9.0,0.09,0.9962,3.3,1.7,89.0,7.3
5.39,white,9.2,0.25,0.9976,3.1,11.9,148.0,7.4
6.85,white,10.5,0.22,0.998275,3.39,14.7,183.0,6.4
8.65,red,10.7,0.34,0.9987,3.29,3.6,14.0,9.4
6.25,white,9.4,0.26,0.9934,3.15,1.9,86.0,7.1
4.85,white,9.0,0.19,0.99865,3.12,13.7,197.0,7.2
6.43,white,9.4,0.36,0.99922,3.25,15.7,183.0,7.2
6.62,white,10.3,0.38,0.99517,3.06,10.5,139.0,6.9
7.79,red,10.1,0.24,0.99576,3.44,2.0,52.0,7.2
7.28,red,9.5,0.42,0.9959,3.23,1.9,86.0,7.7
9.29,red,11.6,0.31,1.0002,3.48,3.0,81.0,8.7
6.49,white,12.4,0.02,0.99248,3.75,11.1,114.0,3.8
4.0,white,8.4,0.12,0.99536,3.06,5.9,91.0,6.4
7.42,white,12.5,0.27,0.99058,3.12,4.7,80.0,6.9
8.03,white,12.5,0.41,0.991,3.02,1.7,140.0,7.8
6.39,white,10.4,0.28,0.9954,3.25,8.6,221.0,7.0
5.65,white,9.7,0.23,0.99705,3.14,14.9,142.0,6.3
8.28,red,10.9,0.34,0.9974,3.22,5.1,22.0,8.2
6.59,red,9.4,0.24,0.9976,3.27,3.4,112.0,8.3
5.86,white,8.9,0.5,0.9974,3.04,12.1,127.0,6.7
6.09,red,9.2,0.0,0.9972,3.46,1.9,18.0,6.5
7.34,white,12.7,0.19,0.9904,3.22,3.2,124.0,6.4
8.12,red,9.5,0.52,0.998,3.18,2.0,26.0,9.5
6.86,white,12.3,0.3,0.99139,2.99,8.3,113.0,6.9
7.3,white,10.9,0.36,0.9959,3.16,10.7,90.0,7.1
5.85,white,8.8,0.36,0.99946,3.23,17.2,130.0,6.2
7.72,white,11.2,0.42,0.99066,3.13,1.1,146.0,6.3
6.6,red,9.5,0.02,0.997,3.46,1.8,11.0,6.4
6.42,red,9.3,0.14,0.99592,3.27,1.6,18.0,7.1
7.08,white,10.2,0.32,0.99375,3.2,1.7,128.0,7.0
8.7,white,11.6,0.48,0.9914,3.19,1.1,132.0,7.4
8.85,red,10.6,0.47,0.99686,3.15,1.7,32.0,11.7
7.2,red,10.8,0.0,0.99551,3.56,2.3,12.0,6.4
7.54,red,9.1,0.29,0.9988,3.36,2.2,15.0,8.8
6.64,white,9.1,0.46,0.9941,2.95,1.0,72.0,8.6
6.24,white,9.8,0.34,0.9965,3.08,9.7,143.0,7.6
5.37,white,8.9,0.3,0.999,3.14,14.2,212.5,7.6
8.57,white,10.8,0.74,0.9916,3.07,1.6,103.0,7.6
5.41,white,8.9,0.3,0.999,3.14,14.2,212.5,7.6
8.02,white,9.9,0.48,0.9958,3.17,1.4,99.0,8.2
6.42,white,12.2,0.05,0.99269,3.26,8.0,164.0,7.0
9.41,red,12.3,0.27,0.99471,3.78,2.0,55.0,5.4
7.65,white,12.0,0.44,0.99452,3.04,12.4,154.0,8.2
5.93,white,10.93333333,0.21,0.99334,2.99,9.65,119.0,6.4
7.93,red,10.5,0.42,0.9973,3.42,5.5,128.0,7.1
5.33,white,9.8,0.14,0.9944,3.17,6.3,185.0,5.9
7.43,white,10.6,0.28,0.99246,3.28,1.4,109.0,7.2
7.75,red,10.0,0.33,0.996,3.23,1.7,13.0,7.2
8.93,red,12.9,0.32,0.99418,3.34,2.1,70.0,7.3
7.05,red,10.2,0.1,0.9959,3.42,2.3,30.0,6.9
7.18,white,10.1,0.49,0.9948,3.27,7.5,151.0,6.4
8.12,white,12.7,0.33,0.98945,3.37,2.1,138.0,5.9
7.93,red,9.8,0.38,0.9962,3.26,1.5,29.0,8.2
7.18,red,10.0,0.19,0.99522,3.39,2.0,47.0,6.0
5.54,white,9.3,0.24,0.99922,3.19,19.95,174.0,6.1
7.19,red,9.9,0.11,0.9979,3.4,2.3,31.0,8.6
6.24,red,10.55,0.06,0.99236,3.3,1.8,89.0,6.0
5.83,white,9.0,0.3,0.99954,3.3,16.0,201.0,7.1
8.15,white,11.0,0.45,0.9917,3.13,1.5,96.0,7.9
6.79,red,10.3,0.0,0.99629,3.45,3.0,31.0,6.6
7.06,red,9.5,0.21,0.9961,3.33,2.0,35.0,7.3
7.23,red,11.3,0.01,0.99586,3.51,3.7,54.0,6.3
7.3,red,10.9,0.0,0.99467,3.5,1.6,17.0,6.5
5.74,red,9.2,0.21,0.9955,3.12,2.3,68.0,7.6
7.12,red,10.4,0.09,0.99724,3.41,2.3,64.0,6.4
7.72,red,10.9,0.06,0.99592,3.53,2.0,11.0,6.8
5.32,white,9.8,0.21,0.998,3.02,16.2,197.0,8.5
6.51,white,9.6,0.34,0.9966,3.21,9.3,126.0,7.6
4.51,white,8.7,0.27,0.9984,2.9,15.5,135.0,7.4
9.18,red,11.4,0.44,0.9956,3.3,1.9,15.0,8.0
7.39,red,10.0,0.24,0.998,3.12,2.7,44.0,9.5
6.27,red,9.8,0.0,0.99656,3.25,2.2,31.0,8.1
6.75,white,11.5,0.27,0.99335,3.04,10.4,114.0,7.1
8.58,red,11.7,0.24,0.9946,3.57,2.2,42.0,6.2
5.35,white,9.1,0.31,0.99884,3.05,13.1,180.0,7.5
9.92,red,12.0,0.73,0.999,3.17,6.55,76.0,10.4
6.45,white,11.0,0.04,0.99036,3.14,0.8,50.0,6.0
6.87,red,9.0,0.37,1.00369,3.18,15.4,95.0,10.2
7.91,white,11.0,0.32,0.99185,3.37,2.0,90.0,6.5
7.37,white,11.9,0.4,0.992,3.03,6.85,138.0,7.3
6.83,white,10.0,0.19,0.99438,3.67,5.0,101.0,5.0
5.73,white,10.3,0.14,0.9937,3.3,5.0,198.0,5.6
7.22,white,11.0,0.34,0.9976,3.07,19.8,67.0,7.0
9.44,white,12.2,0.74,0.9924,3.25,4.45,130.0,8.3
4.83,white,9.0,0.22,0.9959,3.1,7.7,210.0,6.8
6.56,red,10.0,0.0,0.99593,3.25,1.4,14.0,8.3
5.0,white,8.8,0.23,0.99906,3.08,17.3,118.0,6.6
5.75,white,9.2,0.39,0.9934,3.09,3.3,140.0,5.9
8.74,red,12.8,0.28,0.99374,3.41,2.1,49.0,6.3
6.84,white,10.2,0.34,0.9921,3.19,1.6,104.0,6.0
7.98,white,12.25,0.32,0.99044,3.11,1.3,93.0,6.6
9.12,red,10.9,0.39,0.99652,3.47,1.5,55.0,9.3
8.47,red,11.4,0.3,0.99419,3.24,1.8,24.0,7.4
7.85,white,11.3,0.31,0.99035,3.24,1.0,73.0,6.2
9.43,red,12.4,0.37,0.99439,3.52,2.5,41.0,7.2
7.27,white,11.5,0.38,0.9934,3.12,8.0,152.0,7.9
5.03,white,9.0,0.23,0.99458,3.13,5.0,106.0,5.8
6.46,red,9.7,0.0,0.99636,3.35,1.9,10.0,7.0
6.69,white,10.1,0.46,0.9956,2.89,10.5,83.0,9.8
6.75,red,9.1,0.18,0.997,3.44,1.8,40.0,7.1
7.65,red,10.4,0.25,0.9953,3.34,2.0,61.0,6.8
6.72,red,10.0,0.09,0.99735,3.23,3.3,17.0,8.6
8.15,red,9.7,0.41,0.998,3.28,2.0,16.0,9.3
9.05,white,10.8,0.56,0.9938,3.25,1.0,84.0,7.8
8.29,white,11.7,0.34,0.9917,3.37,1.6,128.0,6.9
7.58,red,9.2,0.37,0.998,3.22,2.2,13.0,9.4
8.63,white,11.7,0.34,0.98993,3.5,1.0,86.0,5.8
6.17,red,9.5,0.09,0.9971,3.18,2.2,42.0,7.8
8.61,red,11.2,0.3,0.9964,3.33,2.8,28.0,8.7
6.19,white,10.0,0.42,0.99624,3.04,11.8,193.0,7.1
5.99,white,9.3,0.26,0.99478,3.36,5.1,103.0,5.8
8.15,red,11.3,0.22,0.99438,3.41,2.3,24.0,6.8
6.89,red,9.8,0.09,0.994,3.5,1.5,19.0,5.7
9.56,red,12.0,0.53,0.9962,3.2,2.4,18.0,9.4
7.94,white,12.9,0.33,0.98896,3.17,2.9,73.0,5.6
5.53,white,9.0,0.31,1.0002,3.13,17.3,197.0,7.3
5.99,white,9.0,0.28,0.9949,3.27,5.4,105.0,6.7
7.86,red,10.9,0.2,0.9955,3.36,2.0,60.0,7.7
6.84,white,10.8,0.32,0.9938,3.2,5.9,152.0,6.8
7.33,red,10.1,0.21,0.99556,3.4,2.4,69.0,7.0
6.61,white,10.9,0.28,0.99469,3.11,10.2,115.0,6.7
5.23,white,9.2,0.26,0.99838,3.04,14.95,178.0,7.5
7.53,white,9.7,0.69,0.9931,3.06,1.3,171.0,6.8
5.8,red,9.6,0.08,0.99529,3.12,1.8,64.0,6.8
8.75,red,10.0,0.66,0.9992,3.05,2.5,37.0,11.9
8.39,red,12.8,0.0,0.99378,3.71,2.2,11.0,5.6
8.21,red,12.3,0.02,0.9955,3.58,2.7,34.0,6.6
5.65,white,9.2,0.26,0.9965,3.25,8.3,180.0,6.9
8.26,white,12.8,0.3,0.98869,3.34,1.1,110.0,5.5
7.72,white,10.1,0.29,0.9932,3.35,1.3,64.0,7.7
4.56,white,8.8,0.27,0.99742,3.04,10.3,219.0,6.6
8.01,red,10.2,0.3,0.9972,3.4,2.1,50.0,8.3
8.21,red,11.7,0.07,0.99598,3.6,2.0,57.0,6.7
7.7,white,12.6,0.15,0.9903,3.3,2.0,87.0,7.2
7.93,white,10.4,0.35,0.9941,3.41,1.5,128.0,7.0
5.75,white,9.0,0.42,0.9932,3.02,1.1,197.0,6.0
7.54,white,11.4,0.33,0.9939,3.2,6.7,138.0,7.5
8.38,white,13.2,0.31,0.98964,3.46,2.7,100.0,5.6
6.68,white,11.1,0.2,0.99324,3.12,6.6,65.0,6.8
6.91,white,10.6,0.34,0.99497,3.08,6.7,162.0,9.0
7.74,red,10.6,0.25,0.99633,3.42,2.3,58.0,6.1
7.58,white,12.8,0.18,0.99018,3.34,3.5,109.0,6.3
6.43,white,10.8,0.16,0.99564,3.4,12.55,115.0,5.4
7.15,white,10.1,0.4,0.99204,3.32,1.2,124.0,5.0
8.07,red,11.0,0.24,0.9993,3.06,2.5,53.0,11.2
